"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"TAGGIQUJ","journalArticle","2021","Ma, Qinyu; Liang, Mengmeng; Wu, Yutong; Luo, Fei; Ma, Zaisong; Dong, Shiwu; Xu, Jianzhong; Dou, Ce","Osteoclast-derived apoptotic bodies couple bone resorption and formation in bone remodeling","BONE RESEARCH","","2095-4700, 2095-6231","10.1038/s41413-020-00121-1","https://www.webofscience.com/wos/woscc/summary/c50d89ae-005a-444f-909a-ee012a54a141-c8b2361a/relevance/1","Bone remodeling is precisely coordinated by bone resorption and formation. Apoptotic osteoclasts generate large amounts of apoptotic bodies (ABs) marking the end of the bone resorption phase, whereas the functions of osteoclast-derived ABs remain largely unknown. Here, we identified the molecular profile of ABs derived from osteoclasts at distinct differentiation stages and investigated their corresponding functions. ABs were isolated from apoptotic bone marrow macrophages, preosteoclasts, and mature osteoclasts induced by staurosporine. Proteomic signature analysis with liquid chromatography-tandem mass spectrometry suggested marked protein cargo differences among the different ABs. Further bioinformatic analysis showed that the proteomic signatures of the ABs were highly similar to those of their parental cells. Functionally, pOC-ABs induced endothelial progenitor cell differentiation and increased CD31(hi)Emcn(hi) endothelial cell formation in a murine bone defect model via their PDGF-BB cargo. mOC-ABs induced osteogenic differentiation of mesenchymal stem cells and facilitated osteogenesis via RANKL reverse signaling. In summary, we mapped the detailed proteomic landscapes of ABs derived from osteoclasts and showed that their potential biological roles are important in coupling bone formation with resorption during bone remodeling.","2021-01-11","2024-01-26 18:22:09","2024-01-26 18:22:09","2024-01-26 18:22:04","5","","1","9","","Bone Res.","","","","","","","","English","","","","","Clarivate Analytics Web of Science","","Num Pages: 12 Place: London Publisher: Springernature Web of Science ID: WOS:000607154400001","","C:\Users\trent\Zotero\storage\9JSEVKQP\Ma et al. - 2021 - Osteoclast-derived apoptotic bodies couple bone re.pdf","","","ANGIOGENESIS; CELL; DIFFERENTIATION; EXOSOMES; EXTRACELLULAR VESICLES; MECHANISMS; MICROVESICLES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QUFQ6ZER","journalArticle","2020","Ma, Qinyu; Liang, Mengmeng; Limjunyawong, Nathachit; Dan, Yang; Xing, Junchao; Li, Jianmei; Xu, Jianzhong; Dou, Ce","Osteoclast-derived apoptotic bodies show extended biological effects of parental cell in promoting bone defect healing","THERANOSTICS","","1838-7640","10.7150/thno.45170","https://www.webofscience.com/wos/woscc/summary/c50d89ae-005a-444f-909a-ee012a54a141-c8b2361a/relevance/1","Apoptotic bodies (ABs) traditionally considered as garbage bags that enclose residual components of dead cells are gaining increasing attentions due to their potential roles in intercellular communications. In bone turn over, at the end of bone resorption phase, most osteoclasts undergo apoptosis, generating large amounts of ABs. However, it remains unclear of the role of osteoclast-derived ABs in bone remodeling. Methods: Staurosporine (STS) was used to apoptotic induction and differential centrifugation was used to isolate ABs. Western blotting, flowcytometry and Transmission electron microscopy (TEM) were performed for ABs identification, while whole transcriptome of ABs from osteoclasts at different stages was detected by RNA-seq. VENN analysis and gene set enrichment analysis (GSEA) were performed to compare the profile similarities between ABs and parental cells. In vitro efficacy of ABs on angiogenesis and osteogenesis were evaluated by tube formation assay and ALP staining. In vivo, calvarial defect mice model was used to assess the effects of ABs-modified decalcified bone matrix (DBM) scaffolds on angiogenesis and osteogenesis. Results: Here we mapped the whole transcriptome paralleled with small RNA profiling of osteoclast derived ABs at distinct differentiation stages. Whole transcriptome analysis revealed significant differences in RNA signatures among the ABs generated from osteoclasts at different stages. By comparing with parental osteoclast RNA profiles, we found that the transcriptome of ABs exhibited high similarities with the corresponding parental cells. Functionally, in vitro and in vivo studies showed that similar with the parental cells, pOC-ABs potentiated endothelial progenitor cell proliferation and differentiation, whereas mOC-ABs promoted osteogenic differentiation. The inherited biological effects of ABs were shown mediated by several enriched IncRNAs of which the interference abolished AB functions. Conclusions: Our study revealed the total RNA profiles of osteoclast derived ABs and demonstrated their biological functions. Both gene set and functional analysis indicated that osteoclast derived ABs are biologically similar with the parental cells suggesting their bridging role in osteoclast-osteoblast coupling in bone remodeling.","2020","2024-01-26 18:22:09","2024-01-26 18:22:09","2024-01-26 18:22:04","6825-6838","","15","10","","Theranostics","","","","","","","","English","","","","","Clarivate Analytics Web of Science","","Num Pages: 14 Place: Lake Haven Publisher: Ivyspring Int Publ Web of Science ID: WOS:000569093500006","","C:\Users\trent\Zotero\storage\S9F3HPAJ\Ma et al. - 2020 - Osteoclast-derived apoptotic bodies show extended .pdf","","","ANGIOGENESIS; Apoptotic body; Bone remodeling; Cell coupling; CLEARANCE; DIFFERENTIATION; ENDOTHELIAL-CELLS; EXOSOMES; EXTRACELLULAR VESICLES; LIGAND; MECHANISMS; MEDIATORS; MICROPARTICLES; Osteoclast; Vesicle bioinformatics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L7DU2SP3","journalArticle","2023","Wu, Yutong; Ai, Hongbo; Xi, Yuhang; Tan, Jiulin; Qu, Ying; Xu, Jianzhong; Luo, Fei; Dou, Ce","Osteoclast-derived apoptotic bodies inhibit naive CD8+T cell activation via Siglec15, promoting breast cancer secondary metastasis","CELL REPORTS MEDICINE","","2666-3791","10.1016/j.xcrm.2023.101165","https://www.webofscience.com/wos/woscc/summary/c50d89ae-005a-444f-909a-ee012a54a141-c8b2361a/relevance/1","The bone microenvironment promotes cancer cell proliferation and dissemination. During periodic bone remodeling, osteoclasts undergo apoptosis, producing large numbers of apoptotic bodies (ABs). However, the biological role of osteoclast-derived ABs, which are residents of the bone-tumor niche, remains largely unknown. Here, we discover that AB-null MRL/lpr mice show resistance to breast cancer cell implantation, with more CD8+ T cell infiltrations and a higher survival rate. We uncover that the membranous Siglec15 on osteoclast-derived ABs binds with sialylated Toll-like receptor 2 (TLR2) and blocks downstream co -stimulatory signaling, leading to the inhibition of naive CD8+ T cell activation. In addition, our study shows that treatment with Siglec15 neutralizing antibodies significantly reduces the incidence of secondary metastases and improves the survival rate of mice with advanced breast cancer bone metastasis. Our findings reveal the immunosuppressive function of osteoclast-derived ABs in the bone-tumor niche and demonstrate the potential of Siglec15 as a common target for anti-resorption and immunotherapy.","2023-09-19","2024-01-26 18:22:09","2024-01-26 18:22:09","2024-01-26 18:22:04","101165","","9","4","","Cell Rep. Med.","","","","","","","","English","","","","","Clarivate Analytics Web of Science","","Num Pages: 17 Place: Cambridge Publisher: Cell Press Web of Science ID: WOS:001081957500001","","C:\Users\trent\Zotero\storage\NECANRZ4\Wu et al. - 2023 - Osteoclast-derived apoptotic bodies inhibit naive .pdf","","","BISPHOSPHONATES; MECHANISM; SIALIC-ACID","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MLXDNE3S","journalArticle","1999","Olmedo, M. L.; Landry, P. S.; Sadasivan, K. K.; Albright, J. A.; Meek, W. D.; Routh, R.; Marino, A. A.","Regulation of osteoblast levels during bone healing","JOURNAL OF ORTHOPAEDIC TRAUMA","","0890-5339, 1531-2291","10.1097/00005131-199906000-00006","https://www.webofscience.com/wos/woscc/summary/c50d89ae-005a-444f-909a-ee012a54a141-c8b2361a/relevance/1","Objective: Td confirm the occurrence of programmed cell death of osteoblasts during bone healing and to evaluate the role of interleukin-1 beta (IL-1 beta) in regulating osteoblast concentration. Study Design: Electron microscopic study of the response of rats to a controlled bone injury, and a randomized controlled study of the effect of IL-1 beta administered continuously for three days. Methods: A standardized defect (1.1 millimeter in diameter, 0.5 millimeter deep) was created unilaterally on the anteromedial surface of the tibia. In some animals, the injury site was recovered five days after operation and processed for ultrastructural evaluation of osteoblasts in the callus. In another group, IL-1 beta was delivered to the bone defect using micro-osmotic pumps (0.5 nanograms/hour); control rats received vehicle only. The bones were recovered one to fourteen days after injury, and concentrations of proliferating cells, osteoblasts, and apoptotic bodies were determined. The amount of callus that formed in the defect was measured. Results: Osteoblasts in the callus exhibited ultrastructural changes characteristic of cells undergoing apoptosis, including condensation of chromatin, membrane blebbing, formation of apoptotic bodies, and phagocytosis by nearby osteoblasts. Addition of IL-1 beta significantly increased the number of osteobIasts at the injury site and significantly decreased the number of apoptotic bodies in relation to the number of osteoblasts. The amount of callus in the bone defect was not affected by IL-1 beta treatment. Conclusion: The role of programmed cell death of osteobIasts as a normal concomitant of bone healing was confirmed. Evidence was found suggesting that IL-1 beta mediated the appearance and disappearance of osteoblasts, possibly by affecting the rates of differentiation and apoptosis, respectively. Understanding these mechanisms conceivably could lead to the ability to control osteoblast levels at an injury site.","1999-07","2024-01-26 18:22:09","2024-01-26 18:22:09","2024-01-26 18:22:04","356-362","","5","13","","J. Orthop. Trauma","","","","","","","","English","","","","","Clarivate Analytics Web of Science","","Num Pages: 7 Place: Philadelphia Publisher: Lippincott Williams & Wilkins Web of Science ID: WOS:000080938700006","","","","","apoptosis; APOPTOSIS; bone healing; CHONDROCYTES; COLLAGEN-SYNTHESIS; CULTURES; INTERLEUKIN-1; interleukin-1 beta; INVITRO; osteoblasts; PROGRAMMED CELL-DEATH; RESORPTION; SURVIVAL; TUMOR-NECROSIS-FACTOR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6FQN6LAH","journalArticle","2019","Ma, Qinyu; Liang, Mengmeng; Wu, Yutong; Ding, Ning; Duan, Lianli; Yu, Tao; Bai, Yun; Kang, Fei; Dong, Shiwu; Xu, Jianzhong; Dou, Ce","Mature osteoclast-derived apoptotic bodies promote osteogenic differentiation via RANKL-mediated reverse signaling","JOURNAL OF BIOLOGICAL CHEMISTRY","","0021-9258, 1083-351X","10.1074/jbc.RA119.007625","https://www.webofscience.com/wos/woscc/summary/c50d89ae-005a-444f-909a-ee012a54a141-c8b2361a/relevance/1","In bone remodeling, after a lifespan of similar to 2 weeks, osteoclasts undergo apoptosis in each bone turnover cycle, resulting in generation of a large number of apoptotic bodies (ABs). However, the biological roles of osteoclast-derived ABs (OC-ABs) in bone remodeling have not been investigated and remain unknown. In this study, we stimulated bone marrow macrophages with receptor activator of NF-kappa B ligand (RANKL) to obtain both preosteoclasts and mature osteoclasts (mOCs). We then used alendronate to induce apoptosis in preosteoclasts and mOCs and generate the respective ABs and used flow cytometry and immunoblotting to characterize the sizes and immunogenic characteristics of the extracted ABs. We show that mOC-ABs are engulfed by preosteoblastic MC3T3-E1 cells and promote the viability of these cells. Among all osteoclast-derived extracellular vesicles, mOC-ABs had the highest osteogenic potency. We further observed that mOC-ABs had the highest vesicular receptor activator of NF-kappa B (RANK) levels among all types of osteoclast-derived extracellular vesicles. Of note, masking of vesicular RANK by soluble RANKL strongly abolished the osteogenic potency of osteoclast-derived ABs. Mechanistically, we found that mOC-ABs induce osteoblast differentiation by activatingPI3K/AKT/mechanistic target of rapamycin (mTOR)/ribosomal protein S6 kinase signaling. In conclusion, OC-ABs promote osteogenic differentiation by stimulating osteoblast differentiation via activation of RANKL reverse signaling. These findings provide important insights into the reversal phase between the bone resorption and formation stages during bone remodeling and identify an AB-dependent cellular signaling mechanism in osteoclast-osteoblast coupling.","2019-07-19","2024-01-26 18:22:09","2024-01-26 18:22:09","2024-01-26 18:22:04","11240-11247","","29","294","","J. Biol. Chem.","","","","","","","","English","","","","","Clarivate Analytics Web of Science","","Num Pages: 8 Place: Rockville Publisher: Amer Soc Biochemistry Molecular Biology Inc Web of Science ID: WOS:000478717400015","","C:\Users\trent\Zotero\storage\7KSKC5M3\Ma et al. - 2019 - Mature osteoclast-derived apoptotic bodies promote.pdf","","","apoptosis; bone; bone remodeling; cell coupling; cell differentiation; CELLS; DEATH; ILIAC TRABECULAR BONE; KINETIC-MODEL; LIGAND; MECHANISMS; osteoblast; osteoclast; RECONSTRUCTION; RESORPTION; SITE; VESICLES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AKJ7IHL5","journalArticle","2000","Olmedo, M. L.; Landry, P. S.; Sadasivan, K. K.; Albright, J. A.; Marino, A. A.","Programmed cell death in post-traumatic bone callus","CELLULAR AND MOLECULAR BIOLOGY","","0145-5680, 1165-158X","","https://www.webofscience.com/wos/woscc/summary/c50d89ae-005a-444f-909a-ee012a54a141-c8b2361a/relevance/1","Some osteoblasts in the expanded population of periosteal cells that occurs following bone injury are removed from the callus by apoptosis, Our objective was to study whether the consequences of activation of the death program could include feedback control of the healing response. Transforming growth factor beta and interleukin-1 beta were delivered together continuously to a standardized tibial defect in rats for 3 days using implanted micro-osmotic pumps. The bones were recovered at 1, 2, 3, 5, 7, 10 and 14 days after injury (n=6 in each treated and control group) and concentrations of proliferating cells, osteoblasts and apoptotic bodies were determined. The injury-induced apoptotic component of the healing response was shifted in time due to the combined cytokines, compared with vehicle only, with the result that the peak in the concentration of apoptotic bodies occurred 2-3 days earlier in the treated animals. Neither osteoprogenitor proliferation nor osteoblast concentration was affected by addition of the cytokines. The results suggested that activation of apoptosis during injury repair was not necessarily a passive consequence of the cellular response to injury. Programmed cell death could therefore have an active role in modulating bone repair.","2000-02","2024-01-26 18:22:09","2024-01-26 18:22:09","2024-01-26 18:22:04","89-97","","1","46","","Cell. Mol. Biol.","","","","","","","","English","","","","","Clarivate Analytics Web of Science","","Num Pages: 9 Place: Poitiers Publisher: C M B Assoc Web of Science ID: WOS:000085612100010","","","","","apoptosis; APOPTOTIC CELLS; CULTURES; CYTOKINES; DEGRADATION; EXPRESSION; growth regulation; GROWTH-FACTOR-BETA; IN-VITRO; INTERLEUKIN-1; interleukin-1 beta; INVITRO; osteobtast; programmed cell death; transforming growth factor beta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TNSRY6QY","journalArticle","2023","Han, Pingping; Johnson, Nigel; Abdal-hay, Abdalla; Moran, Corey S. S.; Salomon, Carlos; Ivanovski, Saso","Effects of periodontal cells-derived extracellular vesicles on mesenchymal stromal cell function","JOURNAL OF PERIODONTAL RESEARCH","","0022-3484, 1600-0765","10.1111/jre.13171","https://www.webofscience.com/wos/woscc/summary/c50d89ae-005a-444f-909a-ee012a54a141-c8b2361a/relevance/1","ObjectiveTo enrich and compare three extracellular vesicles-EV subtypes (apoptotic bodies, microvesicles and small EV) from three periodontal cells (periodontal ligament cells-PDLCs, alveolar bone-derived osteoblasts-OBs and gingival fibroblasts-GFs), and assess uptake and cell function changes in buccal fat pad-derived mesenchymal stromal cells (BFP-MSCs). BackgroundPeriodontal cells such as PDLCs, OBs and GFs have the potential to enhance bone and periodontal regeneration, but face significant challenges, such as the regulatory and cost implications of in vitro cell culture and storage. To address these challenges, it is important to explore alternative 'cell-free' strategies, such as extracellular vesicles which have emerged as promising tools in regenerative medicine, to facilitate osteogenic differentiation and bone regeneration. Methods and MaterialsSerial centrifuges at 2600 and 16 000 g were used to isolate apoptotic bodies and microvesicles respectively. Small EV-sEV was enriched by our in-house size exclusion chromatography (SEC). The cellular uptake, proliferation, migration and osteogenic/adipogenic differentiation genes were analysed after EVs uptake in BFP-MSCs. ResultsThree EV subtypes were enriched and characterised by morphology, particle size and EV-associated protein expression-CD9. Cellular uptake of the three EVs subtypes was observed in BFP-MSCs for up to 7 days. sEV from the three periodontal cells promoted proliferation, migration and osteogenic gene expression. hOBs-sEV showed superior levels of osteogenesis markers compared to that hPDLCs-sEV and hGFs-sEV, while hOBs-16k EV promoted adipogenic gene expression compared to that from hPDLCs and hGFs. ConclusionsOur proof-of-concept data demonstrate that hOBs-sEV might be an alternative cell-free therapeutic for bone tissue engineering.","2023-12","2024-01-26 18:22:09","2024-01-26 18:22:09","2024-01-26 18:22:04","1188-1200","","6","58","","J. Periodont. Res.","","","","","","","","English","","","","","Clarivate Analytics Web of Science","","Num Pages: 13 Place: Hoboken Publisher: Wiley Web of Science ID: WOS:001051940100001","","","","","BUCCAL FAT PAD; buccal fat pad-mesenchymal stromal cells; cellular uptake; exosomes; migration; osteogenesis; periodontal cells-derived extracellular vesicles; proliferation; REGENERATION; STEM-CELLS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3AVE6RXR","journalArticle","1998","Bonucci, E.; Silvestrini, G.","Does apoptosis play a role in bone remodeling?","ITALIAN JOURNAL OF MINERAL & ELECTROLYTE METABOLISM","","1121-1709","","https://www.webofscience.com/wos/woscc/summary/c50d89ae-005a-444f-909a-ee012a54a141-c8b2361a/relevance/1","Apoptosis, or programmed cell death, contributes to the regulation of cellular activity in a number of tissues and organs. Treatment of bone sections with the TUMEL method shows the presence of apoptotic bodies in the terminal hypertrophic chondrocytes of the growth cartilage and in osteoblasts, osteocytes, and osteoclasts. On the basis of these findings apoptosis may be considered, as suggested, the programmed final destiny of hypertrophic chondrocytes, and the otherwise unknown terminal fate of the osteoclasts; consequently, it may be involved in bone growth and remodeling. However the frequency of the process is very low in cartilage and bone cells, although it can be increased in osteoclasts by treatment with a number of substances (bisphosphonates, vitamin K-2, TGF-beta, cyclosporine A, tamoxifen, corticosterone, dexamethasone, or specific H+-ATPase inhibitors such as bafilomycin and concanamycin A). This low frequency calls for further investigations before a definitive conclusion can be reached on the role of apoptosis in bone growth and remodeling. On the other hand, it must be considered that the rarity of the process may be deceptive: because of the very short duration of apoptosis, or the possible lack of endonuclease activation, the TUNEL method can in fact underestimate the frequency of positive cells.","1998-03","2024-01-26 18:22:09","2024-01-26 18:22:09","2024-01-26 18:22:04","1-4","","1","12","","Ital. J. Miner. Electrolyte Metab.","","","","","","","","English","","","","","Clarivate Analytics Web of Science","","Num Pages: 4 Place: Turin Publisher: Edizioni Minerva Medica Web of Science ID: WOS:000074704700001","","","","","apoptosis; BISPHOSPHONATES; bone cells; bone remodeling; cartilage; CARTILAGE; DIFFERENTIATION; DNA FRAGMENTATION; GROWTH-PLATE; HYPERTROPHIC CHONDROCYTES; IN-VITRO; PROGRAMMED CELL-DEATH; RESORPTION; SURVIVAL; TUNEL method","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M46IFI2V","journalArticle","2001","Noxon, S. J.; King, G. J.; Gu, G. M.; Huang, G.","Osteoclast clearance from periodontal tissues during orthodontic tooth movement","AMERICAN JOURNAL OF ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS","","0889-5406","10.1067/mod.2001.117912","https://www.webofscience.com/wos/woscc/summary/c50d89ae-005a-444f-909a-ee012a54a141-c8b2361a/relevance/1","The presence of osteoclasts at locations of alveolar bone remodeling is antecedent to orthodontic tooth movement. Cell recruitment and clearance are the mechanisms by which osteoclast populations are regulated. Research in other tissues has revealed that many cells die after their functional lives are past by a process called apoptosis, or programmed cell death. The purpose of this study was to examine the role of apoptosis in osteoclast clearance at orthodontically treated sites as a function of time and location. Orthodontic appliances were placed on 96 rats of the Sprague-Dawley strain. The rats were assigned to either treatment or sham (control) groups and killed 1, 3, 5, and 7 days after appliance placement. Tissue samples were prepared for histochemical evaluation and quantification of morphologic features. Tartrate-resistant acid phophatase (TRAP) and ApopTag (TdT-mediated dUTP-biotin nick 3' end labeling) stains were used to identify osteoclasts and committed preosteoclasts and to discriminate between apoptotic and nonapoptotic nuclei. Pyknotic nuclei and apoptotic bodies were also counted as a morphologic assessment of apoptosis. The percentages of TRAP/ApopTag-positive nuclei were measured in 4 different periodontal regions. There was a highly significant difference in the overall percentage of TRAP/ApopTag-positive nuclei between the control and the treatment groups at 3, 5, and 7 days (P <.001). Morphologic criteria were also statistically different at days 5 and 7 (P <.05). These data strongly suggested that osteoclasts recruited for orthodontic tooth movement are, at least in part, cleared by apoptosis.","2001-11","2024-01-26 18:22:09","2024-01-26 18:22:09","2024-01-26 18:22:04","466-476","","5","120","","Am. J. Orthod. Dentofac. Orthop.","","","","","","","","English","","","","","Clarivate Analytics Web of Science","","Num Pages: 11 Place: St Louis Publisher: Mosby, Inc Web of Science ID: WOS:000172308100005","","","","","APOPTOSIS; BISPHOSPHONATES; BONE; CELL-DEATH; HYPOXIA; IN-VIVO; MECHANISMS; NECROSIS; RATS; ROOT RESORPTION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N5J95B9W","journalArticle","2022","Zhu, Wenyin; Dong, Wenrui; Zhang, Shuangshuang; Shuai, Yi","Original Alterations between Autophagy and Apoptosis in Alveolar Bone Mesenchymal Stem Cells under Orthodontic Force and Their Effects on Osteogenesis","JOURNAL OF HARD TISSUE BIOLOGY","","1341-7649","","https://www.webofscience.com/wos/woscc/summary/c50d89ae-005a-444f-909a-ee012a54a141-c8b2361a/relevance/1","The aim was to investigate changes between autophagy and apoptosis in alveolar bone mesenchymal stem cells (BMSCs) under orthodontic pressure and the effect on osteogenesis in BMSCs. Twenty-four beagle canine teeth were used as experimental models. The control group received no treatment, while in the experimental groups, the canines were moved distally with 150 g of orthodontic force for 7 days, 14 days and 28 days. Bone remodeling was detected by H & E staining, while autophagy and apoptosis in the alveolar bone were analyzed by immunohistochemistry. 3-MA and Z-VAD-FMK were used to modulate autophagy and apoptosis. Transmission electron microscopy and western blotting were used to analyze autophagy and apoptosis in BMSCs, while their osteogenesis was analyzed by ALP staining, alizarin red staining, and osteogenic gene analysis. Compared to the control group, we observed significant distal movement of the canines in each of the experimental groups, the distance moved as the loading time was extended. In the experimental groups, the al-veolar bone on the pressure side was clearly absorbed. On the pressure side, teeth were positive for LC3 after loading for 7 days and 14 days, whereas teeth were positive for caspase-3 after loading for 14 days and 28 days. The number of autopha-gosomes and the conversion of LC3-II/LC3-I gradually decreased, nevertheless, the number of apoptotic bodies and the ex-pression of caspase-3 increased gradually. ALP activity, mineralized nodule formation, and osteogenic gene expression in BMSCs gradually decreased. Finally, the down-regulation of autophagy inhibited osteogenesis in BMSCs, whereas the re-striction of apoptosis led to adverse consequences. Collectively, these data indicate that autophagy of the alveolar bone and BMSCs under orthodontic pressure gradually decreased as the loading time was extended, in contrast, the extent of apopto-sis gradually increased; the osteogenic differentiation of BMSCs was positively correlated with autophagy but negatively correlated with apoptosis.","2022","2024-01-26 18:22:09","2024-01-26 18:22:09","2024-01-26 18:22:05","147-154","","3","31","","J. Hard Tissue Biol.","","","","","","","","English","","","","","Clarivate Analytics Web of Science","","Num Pages: 8 Place: Minato Ku Publisher: Journal Hard Tissue Biology Web of Science ID: WOS:000877226100001","","","","","Alveolar bone; Apoptosis; Autophagy; BMSCs; MAGNITUDE; Orthodontic force; RUNX2; TOOTH MOVEMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
