"","Item.Type","Publication.Year","Author","Title","Publication.Title","DOI"
"810","journalArticle",1998,"Bonucci, E.; Silvestrini, G.","does apoptosis play a role in bone remodeling?","italian journal of mineral & electrolyte metabolism",""
"1010","journalArticle",2022,"Zhu, Wenyin; Dong, Wenrui; Zhang, Shuangshuang; Shuai, Yi","original alterations between autophagy and apoptosis in alveolar bone mesenchymal stem cells under orthodontic force and their effects on osteogenesis","journal of hard tissue biology",""
"194","journalArticle",2023,"Brunet, Mathieu Y.; Man, Kenny; Jones, Marie-christine; Cox, Sophie C.","development of bioinspired proteoliposomes and cell-derived nanovesicles as osteogenic synthetic extracellular vesicles for bone regeneration","tissue engineering part a",""
"200","journalArticle",2022,"Toh, Wei Seong; Yong, Chee Weng; Chuah, Shang Jiunn; Wong, Raymond; Lim, Asher; Lim, Sai Kiang","mesenchymal stem cell-derived small extracellular vesicles promote bone regeneration through a multi-faceted mechanism of action","tissue engineering part a",""
"209","journalArticle",2023,"Man, Kenny","controlled delivery of epigenetically activated extracellular vesicles from a gelma/nanoclay hydrogel for bone regeneration","tissue engineering part a",""
"220","journalArticle",2022,"Brunet, Mathieu; Man, Kenny; Fernandez-Rhodes, Maria; Davies, Owen; Jones, Marie-Christine; Cox, Sophie","development of biomimetic proteoliposomes as synthetic osteogenic extracellular vesicles for bone regeneration","tissue engineering part a",""
"229","journalArticle",2023,"Rana, Neha; Suliman, Salwa; Al-Sharabi, Niyaz; Mustafa, Kamal","macrophage mediated immunomodulation by extracellular vesicles derived from mesenchymal stromal cells combined with biphasic calcium phosphate granules for bone regeneration","tissue engineering part a",""
"253","journalArticle",2021,"Chuah, S.; Yong, C.; Chew, J.; Cheow, Y.; Teo, K.; Zhang, S.; Lai, R.; Wong, R.; Lim, A.; Lim, S.; Toh, W.","mesenchymal stromal cell-derived small extracellular vesicles promote angio-osteogenesis and modulate macrophage polarization to enhance bone regeneration","cytotherapy",""
"275","journalArticle",2022,"Man, Kenny; Louth, Sophie; Brunet, Mathieu; Hoey, David; Cox, Sophie","the influence of scaffold architecture and composition on osteoblast-derived extracellular vesicles therapeutic efficacy for bone regeneration","tissue engineering part a",""
"278","journalArticle",2022,"Man, Kenny; Brunet, Mathieu; Fernandez-Rhodes, Maria; Williams, Soraya; Davies, Owen; Federici, Angelica; Hoey, David; Cox, Sophie","epigenetic reprogramming enhances the therapeutic efficacy of osteoblast-derived extracellular vesicles for bone regeneration","tissue engineering part a",""
"311","journalArticle",2017,"Behera, Jyotirmaya; Zhai, Yuankun; Bala, Jyoti; Tyagi, Suresh C.; Tyagi, Neetu","mesenchymal stem cells derived exosomes promotes bone regeneration through cystathionine-β-synthase enhanced angiogenesis and osteogenesis during bone development","faseb journal",""
"745","journalArticle",2018,"Urabe, Fumihiko; Yoshioka, Yusuke; Ochiya, Takahiro","[the biological role of exosomes in bone remodeling and bone diseases.]","clinical calcium",""
"1100","journalArticle",2021,"Ma, Qinyu; Liang, Mengmeng; Wu, Yutong; Luo, Fei; Ma, Zaisong; Dong, Shiwu; Xu, Jianzhong; Dou, Ce","osteoclast-derived apoptotic bodies couple bone resorption and formation in bone remodeling","bone research","10.1038/s41413-020-00121-1"
"2100","journalArticle",2020,"Ma, Qinyu; Liang, Mengmeng; Limjunyawong, Nathachit; Dan, Yang; Xing, Junchao; Li, Jianmei; Xu, Jianzhong; Dou, Ce","osteoclast-derived apoptotic bodies show extended biological effects of parental cell in promoting bone defect healing","theranostics","10.7150/thno.45170"
