"","a","Freq"
"72","Cox, Sophie C.",6
"185","Hoey, David A.",6
"369","Man, Kenny",6
"30","Brunet, Mathieu Y.",5
"132","Gajendrareddy, Praveen",4
"198","Huang, Chun-Chieh",4
"231","Kang, Miya",4
"350","Lu, Yu",4
"436","Ravindran, Sriram",4
"468","Shirazi, Sajjad",4
"49","Chen, Lang",3
"71","Cooper, Lyndon F.",3
"119","Federici, Angelica S.",3
"286","Li, Yi",3
"304","Lin, Kaili",3
"317","Liu, Guohui",3
"385","Mi, Bobin",3
"415","Panayi, Adriana C.",3
"607","Xiong, Yuan",3
"20","Barbosa, Mario A.",2
"38","Cao, Faqi",2
"51","Chen, Long",2
"81","Dai, Zhenning",2
"83","Davies, Owen G.",2
"99","Dong, Ming",2
"108","Eichholz, Kian F.",2
"118","Federici, Angelica",2
"121","Feng, Taojin",2
"123","Fernandez-Rhodes, Maria",2
"138","Ge, Weiwen",2
"162","Han, Xinxin",2
"187","Holkar, Ketki",2
"196","Hu, Yiqiang",2
"205","Huang, Wenhua",2
"210","Ingavle, Ganesh",2
"223","Jo, Jun-Ichiro",2
"225","Kaji, Hiroshi",2
"226","Kale, Vaijayanti",2
"237","Kawao, Naoyuki",2
"277","Li, Shiyu",2
"290","Li, Ziyue",2
"303","Lin, Dan",2
"316","Liu, Guodong",2
"330","Liu, Tingjiao",2
"337","Liu, Yuehua",2
"353","Luo, Yue",2
"389","Mizukami, Yuya",2
"400","Niu, Weidong",2
"406","Ohira, Takashi",2
"407","Okada, Kiyotaka",2
"410","Pan, Cancan",2
"418","Peacock, Ben",2
"422","Pethe, Prasad",2
"427","Qi, Lei",2
"451","Santos, Susana G.",2
"470","Silva, Andreia M.",2
"474","Su, Jiacan",2
"491","Sun, Yun",2
"494","Tabata, Yasuhiko",2
"495","Takafuji, Yoshimasa",2
"502","Tang, Peifu",2
"507","Teixeira, Jose H.",2
"520","Waddington, Rachel J.",2
"530","Wang, Jing",2
"535","Wang, Lina",2
"573","Williams, Soraya",2
"578","Woods, Ian",2
"601","Xiao, Yin",2
"623","Xue, Hang",2
"626","Yan, Zi",2
"633","Yang, Qian",2
"639","Yang, Yang",2
"651","Yin, Pengbin",2
"655","Yu, Chenyan",2
"659","Yu, Xinxin",2
"688","Zhang, Lei",2
"690","Zhang, Licheng",2
"698","Zhang, Tao",2
"723","Zheng, Weihan",2
"730","Zhou, Wu",2
"735","Zhou, Yinghong",2
"1","Abed, Mohammed",1
"2","Afizah, Hassan",1
"3","Ahmad, Irfan",1
"4","Akdeniz-Dogan, Zeynep",1
"5","Albright, J. A.",1
"6","Alizadeh, Morteza",1
"7","Almasri, R.",1
"8","Almeida, Maria I.",1
"9","Almeida, Maria Ines",1
"10","Ansari, Mohammad Javed",1
"11","Avery, Steven J.",1
"12","Azarpira, Negar",1
"13","Bai, Fan",1
"14","Bai, Hao",1
"15","Bai, Ying",1
"16","Bai, Yun",1
"17","Ball, Jacob R.",1
"18","Banakar, Morteza",1
"19","Bar, Julia Krystyna",1
"21","Barroso, Ines A.",1
"22","Bian, Xuting",1
"23","Bilek, Marcela M.",1
"24","Bonfim, Danielle Cabral",1
"25","Born, Gordian",1
"26","Bourgine, Paul Emile",1
"27","Bramanti, Alessia",1
"28","Broderick, Kristen",1
"29","Brown, Sarah V.",1
"31","Bu, Ziheng",1
"32","Bugdayci, Onur",1
"33","C. Lowry, M.",1
"34","Cai, Bolei",1
"35","Cai, Han-Chen",1
"36","Cai, Hong",1
"37","Calin, George A.",1
"39","Cao, Xiankun",1
"40","Celebiler, Ozhan B.",1
"41","Chang, Leslie",1
"42","Chang, Yaoming",1
"43","Chen, Changjun",1
"44","Chen, Gaoyang",1
"45","Chen, Jia",1
"46","Chen, Kai",1
"47","Chen, Kaiwen",1
"48","Chen, Kun",1
"50","Chen, Liyile",1
"52","Chen, Ming",1
"53","Chen, Peng",1
"54","Chen, Qingqing",1
"55","Chen, Ruijing",1
"56","Chen, Yan-Lin",1
"57","Chen, Yinghua",1
"58","Chen, YongJuan",1
"59","Cheng, Bin",1
"60","Cheng, Liming",1
"61","Cheng, Mengjia",1
"62","Cheng, Shi",1
"63","Cheng, Yurui",1
"64","Chiang, Chi-ling",1
"65","Choi, Joo-Hee",1
"66","Choo, Andre Boon Hwa",1
"67","Chu, Chenyu",1
"68","Chu, Paul K.",1
"69","Clayton, Aled",1
"70","Compan, Alvaro",1
"73","Cui, Jin",1
"74","Cui, Jinjie",1
"75","Cui, Li",1
"76","Cui, Shengjie",1
