"","Var1","Freq"
"34","frontiers in bioengineering and biotechnology",8
"12","bioactive materials",6
"1","acs applied materials & interfaces",5
"2","acta biomaterialia",5
"50","journal of nanobiotechnology",5
"20","bone",4
"40","international journal of molecular sciences",4
"41","international journal of nanomedicine",3
"68","stem cell research & therapy",3
"5","advanced healthcare materials",2
"13","biochemical and biophysical research communications",2
"16","bioengineering-basel",2
"35","frontiers in cell and developmental biology",2
"43","journal of biomedical materials research part a",2
"62","plos one",2
"72","tissue & cell",2
"73","tissue engineering part a",2
"3","advanced drug delivery reviews",1
"4","advanced functional materials",1
"6","advanced nanobiomed research",1
"7","advanced science",1
"8","american journal of sports medicine",1
"9","animal models for stem cell therapy",1
"10","annals of biomedical engineering",1
"11","archives of biochemistry and biophysics",1
"14","biochemical genetics",1
"15","bioengineered",1
"17","biomaterials",1
"18","biomedical materials",1
"19","biomimicked biomaterials: advances in tissue engineering and regenerative medicine",1
"21","bone reports",1
"22","cell proliferation",1
"23","cells",1
"24","cellular and molecular biology",1
"25","chemical engineering journal",1
"26","composites part b-engineering",1
"27","current osteoporosis reports",1
"28","cytotherapy",1
"29","drug delivery",1
"30","elife",1
"31","endocrine journal",1
"32","experimental and molecular medicine",1
"33","faseb journal",1
"36","frontiers in dental medicine",1
"37","hua xi kou qiang yi xue za zhi = huaxi kouqiang yixue zazhi = west china journal of stomatology",1
"38","international journal of biological sciences",1
"39","international journal of medical sciences",1
"42","jbjs reviews",1
"44","journal of cellular and molecular medicine",1
"45","journal of controlled release: official journal of the controlled release society",1
"46","journal of craniofacial surgery",1
"47","journal of dental research",1
"48","journal of extracellular vesicles",1
"49","journal of materials chemistry b",1
"51","journal of orthopaedic translation",1
"52","journal of tissue engineering",1
"53","journal of tissue engineering and regenerative medicine",1
"54","journal of translational medicine",1
"55","life-basel",1
"56","materialia",1
"57","medical science monitor",1
"58","nano today",1
"59","orthopaedic surgery",1
"60","oxidative medicine and cellular longevity",1
"61","pharmaceutics",1
"63","polimery w medycynie",1
"64","regenerative therapy",1
"65","scientific reports",1
"66","small",1
"67","stem cell investigation",1
"69","stem cells international",1
"70","stem cells translational medicine",1
"71","theranostics",1
