"","Author","Frequency"
"2","Man, Kenny","11"
"3","Su, Jiacan","7"
"86","Cox, Sophie C.","7"
"98","Hoey, David A.","7"
"2022","Xu, Jia","7"
"1","Liu, Yunsong","6"
"4","Toh, Wei Seong","6"
"5","Wang, Xin","6"
"6","Zhang, Yi","6"
"12","Xiao, Yin","6"
"13","Zhang, Lei","6"
"21","Lin, Kaili","6"
"37","Huang, Chun-Chieh","6"
"51","Ravindran, Sriram","6"
"79","Brunet, Mathieu Y.","6"
"332","Dou, Ce","6"
"2026","Xu, Jianzhong","6"
"7","Diomede, Francesca","5"
"8","Hu, Yan","5"
"9","Lim, Sai Kiang","5"
"10","Mazzon, Emanuela","5"
"11","Trubiani, Oriana","5"
"14","Zhao, Bo","5"
"15","Zhou, Yongsheng","5"
"28","Zhang, Tao","5"
"29","Zhou, Yinghong","5"
"93","Gajendrareddy, Praveen","5"
"109","Kang, Miya","5"
"129","Lu, Yu","5"
"150","Shirazi, Sajjad","5"
"1366","Chai, Yimin","5"
"2282","Zhang, Xiao","5"
"16","Deng, Jiayin","4"
"17","Fontana, Antonella","4"
"18","Gugliandolo, Agnese","4"
"19","Lai, Ruenn Chai","4"
"20","Li, Jun","4"
"22","Liu, Zihao","4"
"23","Ma, Shiqing","4"
"24","Mu, Yuzhu","4"
"25","Wei, Pengfei","4"
"26","Zhang, Hao","4"
"27","Zhang, Shipin","4"
"30","Zhu, Yuan","4"
"33","Fernandez-Rhodes, Maria","4"
"53","Tang, Peifu","4"
"56","Wang, Jing","4"
"68","Zhang, Licheng","4"
"83","Chen, Lang","4"
"85","Cooper, Lyndon F.","4"
"118","Li, Yi","4"
"123","Liu, Guohui","4"
"134","Mi, Bobin","4"
"140","Panayi, Adriana C.","4"
"176","Xiong, Yuan","4"
"1977","Chen, Xiao","4"
"755","Jin, Yan","4"
"786","Kang, Qinglin","4"
"949","Li, Qi","4"
"1020","Liang, Mengmeng","4"
"1138","Liu, Yi","4"
"1201","Ma, Qinyu","4"
"1211","Ma, Yaping","4"
"1619","Su, Xiaoxia","4"
"1809","Wang, Rui","4"
"1957","Wu, Yutong","4"
"2254","Zhang, Ping","4"
"31","Cui, Jin","3"
"32","Fang, Shuo","3"
"34","Guo, Ximin","3"
"35","Hao, Zichen","3"
"36","Hoey, David","3"
"38","Jiang, Weidong","3"
"39","Jing, Yingying","3"
"40","Lee, Chung-Sung","3"
"41","Lee, Min","3"
"42","Li, Bei","3"
"43","Li, Lu","3"
"44","Li, Rui","3"
"45","Li, Wei","3"
"46","Lin, Ze","3"
"47","Liu, Hao","3"
"48","Lv, Yonggang","3"
"49","Merciaro, Ilaria","3"
"50","Qi, Xin","3"
"52","Sun, Xu","3"
"54","Teo, Kristeen Ye Wen","3"
"55","Tong, Shuang","3"
"57","Wang, Panfeng","3"
"58","Wang, Xinyu","3"
"59","Wang, Xiuhui","3"
"60","Wei, Fei","3"
"61","Wu, Jun","3"
"62","Xia, Yan","3"
"63","Xie, Jie","3"
"64","Xu, Jiajia","3"
"65","Xu, Shuogui","3"
"66","Xu, Yan","3"
"67","Zhang, Kun","3"
"69","Zhang, Yan","3"
"70","Zhang, Yuntong","3"
"71","Zhang, Zhen","3"
"72","Zhou, Fengjin","3"
"87","Dong, Ming","3"
"89","Eichholz, Kian F.","3"
"92","Federici, Angelica","3"
"99","Holkar, Ketki","3"
"102","Hu, Yiqiang","3"
"104","Ingavle, Ganesh","3"
"107","Kale, Vaijayanti","3"
"122","Liu, Guodong","3"
"130","Luo, Yue","3"
"136","Niu, Weidong","3"
"159","Wang, Lina","3"
"168","Williams, Soraya","3"
"170","Woods, Ian","3"
"178","Xue, Hang","3"
"184","Yu, Xinxin","3"
"200","Zhou, Wu","3"
"1123","Ai, Hongbo","3"
"6310","Bari, Elia","3"
"905","Brunet, Mathieu","3"
"256","Cox, Sophie","3"
"323","Dong, Shiwu","3"
"509","Guan, Zheng","3"
"724","Jia, Yachao","3"
"727","Jiang, Daqing","3"
"758","Jing, Wei","3"
"788","Kang, Yue","3"
"829","Kong, Lingchi","3"
"844","Kumar, Ashok","3"
"916","Li, Haiyan","3"
"925","Li, Jie","3"
"948","Li, Peng","3"
