"","Journal","Frequency"
"7","bioactive materials","21"
"19","frontiers in bioengineering and biotechnology","18"
"21","international journal of molecular sciences","16"
"38","stem cell research & therapy","16"
"27","journal of nanobiotechnology","15"
"1","acs applied materials & interfaces","13"
"2","acta biomaterialia","13"
"43","tissue engineering part a","10"
"22","international journal of nanomedicine","9"
"14","chemical engineering journal","8"
"4","advanced healthcare materials","7"
"5","advanced science","7"
"36","scientific reports","7"
"118","materials today bio","7"
"9","biomaterials","6"
"12","cell proliferation","6"
"37","small","6"
"40","stem cells translational medicine","6"
"108","journal of orthopaedic surgery and research","6"
"8","biochemical and biophysical research communications","5"
"11","bone","5"
"13","cells","5"
"15","composites part b-engineering","5"
"18","faseb journal","5"
"34","plos one","5"
"41","theranostics","5"
"55","acs biomaterials science & engineering","5"
"65","acs nano","5"
"25","journal of dental research","4"
"33","pharmaceutics","4"
"39","stem cells international","4"
"42","tissue & cell","4"
"391","biomedicines","4"
"77","frontiers in endocrinology","4"
"3","advanced functional materials","3"
"6","american journal of sports medicine","3"
"16","cytotherapy","3"
"26","journal of materials chemistry b","3"
"28","journal of orthopaedic translation","3"
"72","experimental cell research","3"
"100","journal of controlled release","3"
"123","molecular medicine reports","3"
"127","nano letters","3"
"128","nanomaterials","3"
"142","regenerative biomaterials","3"
"10","biomedical materials","2"
"17","experimental and molecular medicine","2"
"20","international journal of biological sciences","2"
"23","journal of cellular and molecular medicine","2"
"24","journal of craniofacial surgery","2"
"29","journal of tissue engineering","2"
"30","journal of tissue engineering and regenerative medicine","2"
"31","medical science monitor","2"
"32","oxidative medicine and cellular longevity","2"
"35","regenerative therapy","2"
"210","acs applied bio materials","2"
"73","acta astronautica","2"
"97","acta histochemica","2"
"221","arthritis research & therapy","2"
"351","biomaterials research","2"
"51","cell and tissue banking","2"
"54","cell reports medicine","2"
"79","frontiers in physiology","2"
"82","international immunopharmacology","2"
"83","international journal of biological macromolecules","2"
"96","journal of biomaterials and tissue engineering","2"
"98","journal of cellular physiology","2"
"122","molecular medicine","2"
"130","nature communications","2"
"134","peerj","2"
"1210","bioengineering-basel","2"
"135","frontiers in cell and developmental biology","2"
"146","journal of biomedical materials research part a","2"
"113","2022 ieee 22nd international conference on bioinformatics and bioengineering (bibe 2022)","1"
"410","acs applied nano materials","1"
"133","aging-us","1"
