"","Item.Type","Publication.Year","Author","Title","Publication.Title","DOI"
"1","journalArticle",2000,"Olmedo, M. L.; Landry, P. S.; Sadasivan, K. K.; Albright, J. A.; Marino, A. A.","programmed cell death in post-traumatic bone callus","cellular and molecular biology",""
"4","journalArticle",2023,"Takafuji, Yoshimasa; Kawao, Naoyuki; Ohira, Takashi; Mizukami, Yuya; Okada, Kiyotaka; Jo, Jun-Ichiro; Tabata, Yasuhiko; Kaji, Hiroshi","extracellular vesicles secreted from mouse muscle cells improve delayed bone repair in diabetic mice","endocrine journal",""
"49","bookSection",2020,"Zhou, Yinghong; Xiao, Yin","the development of extracellular vesicle-integrated biomaterials for bone regeneration","biomimicked biomaterials: advances in tissue engineering and regenerative medicine",""
"55","journalArticle",2023,"Santos, Susana G.; Silva, Andreia M.; Oliveira, Joana; Teixeira, Jose H.; Almeida, Maria Ines; Neves, Nuno; Cunha, Carla; Barbosa, Mario A.","extracellular vesicles for bone repair/regeneration: modulating the cross-talk between immune cells and mesenchymal stem/stromal cells","tissue engineering part a",""
"91","bookSection",2014,"Kumar, Sanjay","bone defect repair in mice by mesenchymal stem cells","animal models for stem cell therapy",""
"2","journalArticle",2022,"Li, M.; Xing, X.; Huang, H.; Liang, C.; Gao, X.; Tang, Q.; Xu, X.; Yang, J.; Liao, L.; Tian, W.","bmsc-derived apoevs promote craniofacial bone repair via ros/jnk signaling","journal of dental research","10.1177/00220345211068338"
"3","journalArticle",2023,"Huang, Chun-Chieh; Kang, Miya; Leung, Kasey; Lu, Yu; Shirazi, Sajjad; Gajendrareddy, Praveen; Ravindran, Sriram","micro rna based msc ev engineering: targeting the bmp2 cascade for bone repair","frontiers in cell and developmental biology","10.3389/fcell.2023.1127594"
"5","journalArticle",2022,"Dong, Ming; Shi, Chun; Yu, Xinxin; Yang, Qian; Wu, Saixuan; Liu, Runyuan; Liu, Tingjiao; Wang, Lina; Niu, Weidong","milk-derived small extracellular vesicles: nanomaterials to promote bone formation","journal of nanobiotechnology","10.1186/s12951-022-01580-w"
"7","journalArticle",2023,"Wu, Qi; Fu, Xiaoling; Li, Xian; Li, Jing; Han, Weiju; Wang, Yingjun","modification of adipose mesenchymal stem cells-derived small extracellular vesicles with fibrin-targeting peptide creka for enhanced bone repair","bioactive materials","10.1016/j.bioactmat.2022.05.031"
"8","journalArticle",2021,"Kang, Minjee; Lee, Chung-Sung; Lee, Min","bioactive scaffolds integrated with liposomal or extracellular vesicles for bone regeneration","bioengineering-basel","10.3390/bioengineering8100137"
"9","journalArticle",2023,"Shi, Yuanyuan; Zhang, Ruijie; Da, Ningning; Wang, Yiming; Yang, Jianhua; Li, Bei; He, Xiaoning","aspirin loaded extracellular vesicles inhibit inflammation of macrophages via switching metabolic phenotype in periodontitis","biochemical and biophysical research communications","10.1016/j.bbrc.2023.05.024"
"10","journalArticle",2019,"Xu, Jiajia; Wang, Yiyun; Hsu, Ching-Yun; Gao, Yongxing; Meyers, Carolyn Ann; Chang, Leslie; Zhang, Leititia; Broderick, Kristen; Ding, Catherine; Peault, Bruno; Witwer, Kenneth; James, Aaron Watkins","human perivascular stem cell-derived extracellular vesicles mediate bone repair","elife","10.7554/eLife.48191"
